fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
EVA,,ERNST,,2008,12,28
SILKE,,SCHAEFER,,1966,12,2
HILDEGARD,,SCHNEIDER,,1973,3,3
RENATE,,ROTH,,2006,9,6
ANGELIKA,,FRIEDRICH,,1952,1,28
KERSTIN,,NEUMANN,,1958,8,15
ILSE,,SCHROEDER,,1985,7,3
MARIA,,SCHULZ,,1966,3,17
SUSANNE,,FISCHER,,1976,8,27
PETRA,,MARTIN,,1975,4,27
INGRID,,PFEIFFER,,1969,2,20
CLAUDIA,,NEUMANN,,1961,5,24
HELGA,,KRAUSE,,1980,6,27
KAETHE,,NEUMANN,,1963,11,21
KATHARINA,,MEIER,,1959,11,6
MARIA,,ALBRECHT,,1933,2,23
MARIA,,KOCH,,1994,1,19
PETRA,,VOGEL,,1963,11,15
MONIKA,,KLEIVN,,1942,4,23
WALTRAUD,,SCHULZ,,1965,12,3
SABINE,,FRANK,,1959,1,25
URSULA,,ALBRECHT,,1986,7,10
GISELA,,BRAUN,,1964,4,4
ILSE,,LANG,,1934,8,28
INGRID,,SCHMITT,,1983,10,9
SILVIA,,SCHNEIDER,,1986,8,1
INGRID,,BOEHM,,1941,1,27
ANJA,,LANGE,,1926,3,8
GISELA,,WOLF,,1947,3,14
ERIKA,,BAUER,,1999,8,30
GABRIELE,,KOCH,,1940,5,2
MONIKA,,BAUER,,1991,11,8
URSULA,,SCHUBERT,,1958,4,56
SABINE,,MUELLER,,1956,5,25
GABRIELE,EDITH,BECKER,,1942,3,24
CHRISTINA,,SEIDEL,,1995,6,1
MAIKE,JUTTA,BERGER,,1965,9,4
MONIKA,,KAISER,,1951,8,26
SABINE,,WEISS,,1951,2,13
RENATAE,,SCHMIDT,,1924,3,18
GERDA,,WOLFF,,1994,3,21
HERTHA,,HOFFMANN,,1993,2,21
KARIN,,KOERTIG,,1928,3,12
KERSTIN,,SCHMITZ,,1971,10,21
ERIKA,,KOCH,,1960,3,19
MARIANNE,,ALBRECHT,,1925,8,3
KARIN,,RICHTER,,1991,9,3
CHRISTEL,,WAGNER,,1983,12,6
SABINE,,HERRMANN,,1948,9,4
MARTINA,,KELLER,,1986,6,14
BIRGIT,RUTH,ALBRECHT,,1947,12,3
PETRA,,KOERTIG,,2002,12,3
ELISABETH,,KRAEMER,,1968,6,26
JUTTA,,BRANDT,,2006,5,25
HELGA,ANDREA,NEUMANN,,1945,10,28
KERSTIN,,HERRMANN,,1995,4,19
STEFANIE,,DIETRICH,,1997,2,15
ANNA,,MUELLER,,1970,8,15
BIRGIT,,WAGNER,,1988,4,22
GERDA,,SCHULTE,,1988,3,11
ELISABETH,,WAGNER,,1997,6,8
GABRIELE,,WERNER,,1986,7,3
HEIDI,,ZIEGLER,,1951,2,14
GERDA,,WERNER,,2004,4,19
HILDEGARD,,MAIER,,1965,6,30
INGRID,,SCHMIDT,,1954,8,27
MARTINA,,HUBER,,1967,10,18
CHRISTA,,WERNER,,1964,10,23
MARIA,,BECKER,,1999,3,22
HILDEGARD,,SCHNEIDER,,1983,12,17
SABINE,,VOIGT,,1994,10,7
HEIKE,,WEBER,,1953,6,5
SABINE,,WEBER,,1944,10,24
BRIGITTE,,BERGER,,1994,11,12
URSULA,,SAYER,,2003,5,13
CHRISTA,,KRUEGER,,1986,2,10
BARBARA,,MEYER,,1968,6,13
MARIA,,SCHNEIDER,,1937,2,23
URSULA,,ENGEL,,1940,3,3
RENATE,,SIMON,,1963,9,7
MARIA,,WEISS,,2006,4,1
SUSANNE,,KUHN,,1936,7,13
STEFANIE,,VOGT,,1977,11,9
ERIKA,,ZIMMERMANN,,1935,4,11
GABRIELE,,SCHROEDER,,1947,5,14
SABINE,,NEUMANN,,1952,5,20
ERNA,,SCHNEIDER,,2002,8,18
CHRISTA,,GUENTHER,,1975,4,27
SANDRA,,SCHULTE,,2008,4,9
ELKE,,KLEIN,,1984,4,24
SUSANNE,,WEBER,,1949,7,16
WALTTRAUD,,BECKER,,1978,11,14
RENATE,,SCHNEIDER,,1973,6,22
BRITTA,,HAHN,,1950,10,19
KARIN,GERDA,HOFFMANN,,1968,6,28
BAERBEL,,SCHMITZ,,1967,5,28
ILSE,,KOEHLER,,1947,11,28
KERSTIN,,SCHMID,,1994,6,4
SABINE,,WEBER,,1977,12,16
SABINE,,SCHULZ,,1942,3,8
SABINE,,MUELLER,,1950,1,26
MARTHA,ANNA,JAEGER,,1992,2,12
ERIKA,,KRAUS,,1980,12,2
BIRGIT,,WAGNER,,1961,3,15
HEIDI,,FRIEDRICH,,1962,5,10
BRIGILTTE,MARGOT,SOMMER,,2000,6,19
IRMGALRD,,LANG,,1980,1,27
SILKE,,MAYER,,1979,11,18
ANJA,,RICHTER,,1941,7,30
BAERBEL,,BERGER,,1973,1,22
ANNELIESE,,KOCH,,1957,4,11
NICOLE,URSULA,SIMON,,1974,1,6
INGE,,BECK,,1968,8,24
GISELA,,SCHMID,,1952,6,17
SANDRA,,MOELLER,,1940,11,7
MARTINA,,WAGNER,,1941,1,10
GERTRUD,,MAYER,,1952,2,27
GERTRUD,,SCHULZE,,1944,8,2
SUSANNE,,KOEHLER,,1966,5,1
SUSANNE,,MUELLER,,1969,11,7
WALTRAUD,,BECKER,,1978,11,14
KARIN,,WOLF,,1979,4,10
BETTINA,,KUEHN,,2000,3,12
MONIKA,,SAUER,,1976,12,10
CLAUDIA,MARTHA,KOERTIG,,2004,1,6
NICOLE,,BECK,,1962,1,27
ANJA,,WEISS,,1961,12,26
MONIKA,,ROTH,,1964,4,22
ANGELIKA,,ZIEGLER,,1957,3,15
HELGA,,SCHMIDT,,1929,6,26
HELGA,,FRANK,,1961,2,4
RENATE,,SCHWARZ,,2006,3,1
SABINE,,BAUER,,1998,8,15
HELGA,,KRAUSE,,1943,1,21
KARIN,SABINE,WAGNER,,1961,4,23
INGE,KERSTIN,HOFFMANN,,1967,2,20
BIRGIT,,FRANK,,1976,2,15
JUTTA,,FRANKE,,1999,6,20
GERDA,,FISCHER,,1985,10,30
JUTTA,,MAIER,,1984,10,16
HEIKE,,BERGER,,1939,2,27
INGRID,,MEYER,,1967,6,6
GABRIELE,,KOEHLER,,1948,10,12
KATHARINA,,KRUEGER,,1959,2,10
HEIKE,,PFEIFFER,,1999,5,1
RENATE,,SCHULZ,,1973,11,19
UTE,,SCHULTE,,1936,2,21
KATHARINA,,MEYER,,1966,9,1
ELISABETH,,SCHMID,,1976,6,18
URSULA,,SCHNEIDER,,1988,6,3
JULIA,KARIN,WAGNER,,1932,12,5
ANGELPIKA,,LANGE,,1960,4,8
KARIN,,BAUER,,1939,4,22
INGRID,,SCHMID,,1949,2,6
ANNA,CHRISTINA,WAGNER,,1990,9,10
GERDA,,BRANDT,,1963,6,30
CHRISTINA,,KELLER,,1961,10,26
RENATE,,NEUMANN,,1950,2,22
MARGARETE,,KLEIN,,2004,10,31
SANDRA,,LEHMANN,,1995,6,6
ANGELBIKA,,LUDWIG,,1974,2,19
ILSE,,SCHAEFER,,2005,2,8
JOHANNA,,SCHWARZ,,2005,12,9
SILVIA,,SCHMID,,1992,12,28
BIRGIT,,MEYER,,1924,12,6
HEIKE,,BERGMANN,,1955,7,4
INGRID,RENATE,SCHMIDT,,1945,2,11
ANNA,,KUHN,,1981,10,5
SILVIA,,BECK,,1951,12,4
HANNELORE,,SAUER,,1961,5,16
RENATE,UTE,SCHULZ,,1935,3,22
KARIN,,LUDWIG,,1998,1,11
INGRID,,SCHROESER,,1999,9,30
KATHARINA,,MOELLER,,1987,1,14
HELGA,,SCHNEIDER,,1968,6,27
KATHRIN,,NEUMANN,,1996,12,2
FRIEDA,BIRGIT,SCHOLZ,,1955,8,5
BIRGIT,,BQUER,,1967,4,12
HELGA,,BECKER,,2000,2,7
MONIKA,,WOLF,,1935,8,26
STEFANIE,,SCHULZE,,1962,4,15
CHRISTINA,,SCHNEIRER,,1961,8,17
SILVIA,,BECKER,,1993,11,2
SANDRA,,HERRMANN,,1951,10,10
MARTINA,,WERNER,,1940,7,23
MONIKA,,KRAUSE,,2003,11,6
URSULA,,MUELLER,,1961,12,16
ANGELIKA,,KELLER,,1940,8,23
KERSTIN,,KLEIN,,1938,4,17
HELGA,,JAEGER,,1991,8,27
KARIN,,MUELLER,,1940,6,22
ILSE,,MUELLER,,1959,2,3
HELGA,,SOMMER,,1981,12,4
KATHRIN,,MUELLER,,1951,5,7
SABINE,,WINKLER,,1941,2,11
MONIKA,,SCHAEFER,,1970,8,2
CLAUDIA,,SCHMIDT,,1977,6,28
ANJA,,MAYER,,1964,2,15
HELGA,,WAGNER,,1961,10,26
SABINE,,SCHNEIDER,,1985,6,26
GABRIELE,MARTINA,KLEIN,,1992,5,17
SONJA,,SCHNEIDER,,1992,11,24
BIRGIT,,HUFMANN,,1971,4,4
REGINA,,MUELLER,,1925,4,17
MARTINA,,SIMON,,1939,1,10
RUTH,,FISCHER,,1983,2,3
SABINE,,SCHWARZ,,1971,7,26
CHRISTCEL,,JAEGER,,1951,12,14
TANJA,,SCHMIDT,,1976,12,29
GABRIELE,,BERGER,,1989,10,11
KATHARINA,KATHARINA,LANGE,,2001,8,31
ANGELIKA,SUSANNE,GUENTHER,,1972,8,27
RENATE,,SCHNEIDER,,1983,9,27
HILDEGARD,,MUELLER,,1961,11,1
BIRGIT,,BAUMANN,,1965,10,16
INGRID,,WERNER,,1969,10,2
NICOLE,,KOERTIG,,1997,7,11
ERIKA,,SAUER,,1977,7,19
SUSANNE,,BRAUN,,1959,9,1
PETRA,,HAHN,,1975,6,3
MARGARETE,,SCHMIDT,,1938,2,1
GISELA,ANGELA,ALBRECHT,,1960,12,27
SUSANNE,,WOLF,,1969,2,6
BETTINA,,MEYER,,1955,7,3
SUSANNE,,FRANK,,1939,5,12
HELGA,,WOLF,,1988,10,26
MARGAREQTE,,SCHMIDT,,1938,2,1
ELKE,,OTTO,,1972,7,26
URSULA,,SCHREIBER,,1985,4,13
INGEBORG,,SCHUSTER,,1979,7,18
MARION,,MAYER,,1999,12,20
ANKE,,BRAUN,,1962,1,2
BARBARA,,SCHNEIDER,,1980,1,19
GABRIELE,,GUENTHER,,1959,11,9
FRIEDA,,SCHAEFER,,1999,2,5
PETRA,,BAUER,,1946,11,21
GABRIELE,,ALBRECHT,,1929,11,4
SABINE,,SCHULZ,,1996,5,19
INGRID,,KRAEMER,,1998,12,20
ANJA,,VOGT,,1986,12,14
RENATE,,KAISER,,1952,3,13
KATHRIN,,SCHAEFER,,1951,1,22
SUSANNE,,LORENZ,,1977,7,13
CLAUDIA,,BAUER,,1992,11,16
URSULA,,MUELLER,,1940,6,14
KATHRIN,,MUELLER,,1953,6,18
SUSANNE,,SCHREIBER,,1955,8,25
RENATE,,SCHNEIDER,,1983,4,12
SABINE,,SCHWARZ,,1966,10,16
MARIANNE,,SCHULTE,,1992,11,25
KERSTIN,,SCHNEIDER,,1952,2,1
INGRID,,BAUMANN,,1952,6,7
INGRID,,RICHTER,,1954,10,25
INGRID,,WOLF,,1942,12,9
ANDREA,,NEUMANN,,1926,11,25
CHRISTA,,BRAUN,,2007,8,6
BRITTA,,MEIER,,1987,3,4
JUTTA,,MUELLER,,1988,7,28
URSULA,,KOERTIG,,1977,8,29
URSULA,KARIN,LUDWIG,,1947,9,5
MONIKA,,WOLF,,2008,3,21
JUTTA,,KOCH,,1924,8,28
CLAUDIA,,SCHNEIDER,,1959,7,6
URSULA,,SCHAEFER,,1997,21,25
INGE,,KOCH,,1936,4,21
HERTHA,,WOLF,,1966,7,15
GERDA,,MOELLER,,1963,4,25
CHRISTINA,,SCHMITZ,,1957,9,12
HELGA,,KRUEGER,,1951,9,29
GISELA,,ALBRECHT,,1985,7,16
KARIN,,KOCH,,1935,12,28
GERDA,,MULLER,,1953,3,9
HEIKE,,MEIER,,1994,4,20
BIRGIT,,HOFMANN,,1971,4,4
BIRGIT,,KRAUSE,,1969,2,11
URSWULA,,ALBRECHT,,1986,7,10
RUTH,,SCHMIDT,,1979,4,29
PETRA,,SCHAEFER,,1967,12,16
KAETHE,,SCHUSTER,,1979,12,29
GISELA,,SCHMIDT,,1927,4,26
SABINE,,ROTH,,1998,11,9
RENATE,,MEIER,,2004,11,1
MARIA,,PETERS,,1926,11,6
KATHARINA,,WEBER,,1989,2,5
URSULA,,MARTIN,,1945,10,16
GISELA,RUTH,LANGE,,1944,8,19
ANNA,,SCHNEIDER,,1964,4,13
MARTHA,,SCHMIDT,,1990,12,11
EDITH,,BERGER,,1983,2,13
GISELA,,HOFMANN,,1941,10,21
MARIA,,LEHMANN,,1945,4,17
ANDREA,,MUELLER,,1997,12,7
CLAUDIA,,SCHMITZ,,1929,9,18
CLAUDIA,,BERGMANN,,1985,12,25
HELGA,,BAUER,,1938,12,16
PETRA,,BRAUN,,1998,10,4
BRITTA,,SCHMITZ,,1956,7,8
ANGELIKA,,KRUEGER,,1961,6,3
SUSANPNE,,RICHTER,,1998,6,23
CLAUDIA,,LUDWIG,,1956,8,7
MONIKA,,HOFMANN,,1947,4,16
UTE,,ALBRECHT,,1995,8,3
PETRA,ANGELIKA,SCHMIDT,,1995,8,1
ERIKA,ERIKA,NEUMANN,,1974,7,3
GISELA,,LUDWIG,,1961,7,18
MONIKA,,MUELLER,,1964,5,10
STEFANIE,,SIMON,,1956,9,20
MONIKA,,BECK,,1951,6,14
TANJA,INGRID,SCHMIDT,,1943,9,23
HELENE,,SOMMER,,1969,5,19
JULIA,,WAGNER,,1930,5,2
JUTTA,,HARTMANN,,1965,12,27
ANDREA,,BRAUN,,1969,11,11
ANDREA,,WERNER,,2005,10,18
ANGELIKA,,LUDWIG,,1974,2,19
GISELA,,BAUER,,1960,1,15
HILDEGARD,JUTTA,NEUMANN,,1930,4,22
KARIN,BIRGIT,KELLER,,1941,2,28
ERIKA,,BECK,,1972,5,5
MONIKA,,ENGEL,,1977,11,4
KATHRIN,,LANGE,,1961,5,9
MARIA,,BRANDT,,1940,8,31
GERDA,,WOLF,,1967,9,11
MARTHA,,BUSCH,,1932,11,4
ANKE,,KRAUSE,,1980,1,22
RENATE,,SCHMIDT,,1929,10,3
MONIKA,,BAUER,,1936,12,21
HELGA,,SCHAEFER,,1985,5,25
RENATE,,MUELLER,,1952,12,11
PETRA,,MEIER,,1942,10,17
ANNA,,MEYER,,1990,8,6
KARIN,BARBARA,KLEIN,,1986,11,20
MONIKA,,BRAUN,,1928,9,18
SUSANNE,,BERGMANN,,1965,3,24
MARIA,,WEBER,,1971,2,14
KARIN,MONIKA,WEBER,,1946,1,26
BIRGIT,,FRANK,,2003,2,11
BIRGIT,BARBARA,HOFFMANN,,1929,10,31
CHRISTEL,,GROSS,,1960,8,10
STEFANIE,,MUELLER,,1952,1,12
STEFANIE,,MUELLEO,,1952,1,12
SUSANNE,,KOERTIG,,1946,10,8
MARTINA,,WALTER,,1961,3,3
INGRID,,SCHREIBER,,1965,12,16
HEIKE,,WALTER,,1957,11,30
GERDA,,WEBER,,1958,5,19
ELISABETH,,FRIEDRICH,,1982,10,21
INGRID,,BAUER,,1992,11,5
SABINE,,LUDWIG,,1951,1,17
BIRGIT,,SCHNEIDER,,1940,9,11
GERTRUD,,SCHULTE,,1952,5,20
CHRISTA,,WEBER,,1962,10,24
INGEBORG,,HORN,,1971,7,15
CHRISTIANE,,LORENZ,,1953,4,18
MARTINA,,WOLF,,1979,12,26
SABINE,,SCHMIDT,,1938,11,20
ILSE,,LANGE,,1956,2,7
GERTRUDD,,KUHN,,1960,3,9
HERTHA,,FISCHER,,1997,12,24
SUSANNE,,SCHMIDT,,1933,8,12
GABRIELE,,SCHAECER,,1930,2,5
LIESELOTTE,,MOELLER,,1975,5,8
SILKE,,SCHNEIDER,,1948,12,9
ERIKA,,MUELLER,,1978,7,29
HELGA,,SCHMIDT,,1967,10,7
CLAUDIA,,BECKER,,1982,7,5
KARIN,,KOCH,,1940,4,14
MONIKA,,MUELLER,,1949,8,25
CHRISTA,,MUELLER,,1960,8,28
GERDA,,BERGMANN,,1954,9,20
ANKE,,GRAF,,1985,1,16
KATHRIN,,HAHN,,1943,11,12
BARBARA,,HOFFMANN,,1942,6,1
RENATE,,MUELLER,,1986,2,18
ELKE,,MUELLER,,1938,8,2
MONIKA,,KRAEMER,,1993,2,18
INGEBORG,,BERGER,,1960,1,12
SABINE,,SCHOLZ,,1986,9,28
MARION,,KRAEMER,,1958,9,11
ANJA,,SCHMIDT,,1918,5,9
HELGA,,GROSS,,1936,12,13
ANJA,,SCHOLZ,,1948,9,29
INGRID,,BAUER,,1951,12,14
INGEBORG,,SCHMITT,,1972,8,3
RENATE,,PETERS,,2000,4,27
IRMGARD,,SCHMIDT,,1935,12,30
SABINE,,WINKLER,,1986,3,24
ANKE,,KOERTIG,SCHMIDT,1965,11,2
KATHARINA,,WERNER,,1967,2,3
BIRGIT,,MEIER,,1941,6,8
MONIKA,,HORN,,1964,12,31
BIRGIT,,ZIMMERMANN,,2003,9,26
INGRID,,FISCHER,BECKER,1988,11,13
MARIE,,ERNST,,1935,1,1
SABINE,,MUELLER,,1975,2,19
KAETHE,,BERGMANN,,1944,11,17
MARIA,,ZIMMERMANN,,1931,3,11
ELISABETH,,SCHROEDER,,1959,3,15
SILVIA,,KOERTIG,,1930,3,28
CLAUDIA,,SCHWARZ,,1951,1,30
GERDA,,GRAF,,1932,12,23
HANNELORE,,SCHMIDT,,1937,9,10
SUSANNE,,SCHWARZ,,2004,11,9
ANNA,,MUELLER,,1959,7,9
KATHRIN,,MUELLER,,2006,12,28
HELGA,,ZIEGLER,,1969,8,9
MONIKA,,SCHAEFER,,1977,5,17
HELGA,,LUDWIG,,1933,1,9
JOHANNA,,FRIEDRICH,,1965,2,9
CORNELIA,,MUELLER,,1998,6,8
GISELA,GISELA,WERNER,,1970,7,26
ANNA,,WAGNER,,1972,5,31
BARBARA,,BECK,,1955,1,28
CHRISTINA,,SCHNEIDER,,1948,1,21
SABINE,,KOCH,,1984,8,12
MARIA,,FISCHER,,1963,7,15
ANNA,,MUELLER,,1993,7,9
MELANIE,,SCHMIDT,,1930,11,20
BIRGIT,,WINKLER,,1966,7,15
ANNA,HANNELORE,KUHN,,1993,1,1
MONIKA,,ROTH,,2001,5,22
IRMGARD,,MAYER,,1971,6,6
KATHRIN,,VOGEL,,1983,9,2
CLAUDIA,,MAIER,SCHMIDT,1971,4,10
CHRISTA,,HARTMANN,,2001,11,11
SIGRID,,SCHMITT,,1974,8,29
NICOLE,URSULA,SIMON,,1975,1,6
GABRIELE,,SCHMIDT,,1951,3,21
URSULA,,MUELLER,,1927,10,2
CHRISTA,,BECKER,,1960,5,25
KARIN,,ENGEL,,1950,12,25
ANDRNEA,,BRAUN,,1959,4,9
GABRIELE,,NEUMANN,,1962,11,9
BRIGITTE,,KRUEGER,,1977,10,27
PETRA,,SCHMIDT,,1932,5,14
ANNA,,SCHMIDT,,1977,3,30
CHRISTEL,,BAUER,,1976,3,16
ANNA,,JAEGER,,1986,10,29
GISELA,,FRANK,,1942,10,31
INGRID,,HOFFMANN,,1963,10,11
URSULA,,HERRMANN,,1974,2,26
BARBARA,,MAYER,,1971,5,4
CHRISTINE,,SOMMER,,1988,10,6
BARBARA,,GROSS,,1993,10,26
ELKE,,FRANK,,1983,12,6
SABINE,,SEIDEL,,1994,6,23
KATHRIN,,HOFFMANN,,1975,6,29
SABINE,,SCHMIDT,,1985,7,2
HELGA,,LEHMANN,,1971,3,5
KARIN,GISELA,SCHNEIDER,,1946,3,3
CHRISTA,,SCHAEFER,,1927,10,10
YVONNE,,MEYER,,1981,5,8
STEFANIE,KARIN,MAIER,,1957,3,26
NICOLE,,ZIMMERMANN,,1990,9,3
INGEBORG,,KOCH,,2003,8,9
ANDREA,,KAISER,,1997,3,6
SONJA,,HOFFMANN,,1989,9,3
HEIKE,,HAAS,,1986,2,28
BIRGIT,,SCHNEIDER,,1968,4,7
JUTTA,,HAHN,,1953,8,13
CLAUDIA,,WINKLER,,1982,1,8
KARIN,,SCHROEDER,,2002,2,1
KARIN,,MEYER,,1939,4,28
PETRA,,VOGEL,,1971,6,10
ANDREA,,SCHULZE,,1979,10,28
MARIANNE,,BECK,,1949,1,22
HEIKE,,MUELLER,,1944,7,29
CHRISTA,,SCHUNERT,,1928,4,19
SUSANNE,,BECKER,,1950,1,18
SILVIA,,KRUEGER,,1938,1,22
GERTRUD,,BECKER,,1958,9,15
HELGA,,MUELLER,,1060,6,27
CHRISTA,,FISCHER,,1980,6,4
HELGA,,KOEHLER,,1937,6,23
INGRID,,SCHUMACHER,,1970,4,27
SUSANNE,,SCHULZE,,1944,3,10
GISELA,,MEYER,,2007,9,19
SUSANNE,,SCHREIBER,,1942,11,3
MONIKA,,MAYDR,,1965,4,25
GERDA,,BAUMANN,,1957,9,7
CHRISTA,,KOEHLER,,1953,11,8
MARGARETE,,KRUEGER,,1987,7,9
CHRISTINA,,KOERTIG,,1954,3,27
NICOLE,,MEYER,,1942,5,4
EDIMTH,,MUELLER,,2007,10,26
ILSE,,HAHN,,1993,12,2
RENATE,,HOFMANN,,1966,6,8
RENATE,,BAUER,,1994,12,28
URSULA,,WALTER,,1946,1,22
CORNELIA,,SCHMIDT,,1955,11,19
SABINE,,ALBRECHT,,2000,3,22
NICOLE,,WERNER,,1953,12,16
SONJA,,SOMMER,,1928,1,12
RENATE,,FISCHER,,1990,7,28
ANNDA,,FRANKE,,1992,12,14
ELKE,SUSANNE,KOERTIG,,1944,11,26
KARIN,,MOELLER,,1967,8,4
HERTHA,BRIGITTE,WINTER,,2005,7,10
HELGA,,KRAUSE,,1992,12,15
BILRGIT,,KOEHLER,,1994,5,8
ANDREA,,ROTH,,1943,7,27
PETRA,,KOCH,,1977,4,3
CHRISTINE,,WOLF,,1928,6,22
URSUHLA,,SCHMIDT,,1968,6,15
NICOLE,,BECKER,,1935,4,1
NICOLE,,MEIER,,1978,9,27
URSULA,,MEYER,,1940,7,14
BRIGITTE,,KOEHLER,,1951,3,14
HELGA,,LANGE,,1973,7,10
MARIA,,SCHULZE,,1957,5,27
SUSANNE,,BECK,,1978,12,23
CLAUDIA,,ENGEL,,1939,11,30
HILDEGARD,,MUELLER,,1978,10,21
INGE,,HAAS,,1948,6,25
MONIKA,,HERRMANN,,1945,1,10
MARIANNE,,LORENZ,,1995,9,20
MARION,SABINE,MEIER,,1963,4,12
URSULA,RENATE,SCHROEDER,,1956,2,22
BRIGITTE,,SCHMID,,1962,8,7
URSULA,,LUDWIG,,1946,5,12
ANNA,,MAIER,,1927,12,14
MONIKA,,HARTMANN,,2006,10,20
CLAUDIA,,HUBER,,1940,9,30
INGEBORG,,HORN,,1971,7,10
BRIGITTE,,KOCH,,2002,6,28
RENATE,,SCHMIDT,,1999,7,21
MARIANNE,,KRAUS,,1967,8,21
CHRISTINE,,OTTO,,1954,6,24
NICOLE,,KRAEMER,,2005,4,7
RENATE,,SCHNEIDER,,1980,12,26
MARGARETE,,SCHWARZ,,1997,4,17
RENATE,,BECKER,,1948,3,7
GISELA,,MUELLER,,1950,4,22
SABINE,,HOFFMANN,,1976,11,16
KARIN,,MUELLER,,1980,6,25
MONIKA,,PETERS,,1988,9,7
HELGA,,PETERS,,1979,11,2
MARIA,,PETERS,,1944,7,7
BIRGITR,,SCHULZE,,1998,8,17
HILDEGARD,,ZIEGLER,,1966,5,3
KATHARINA,ANDREA,KOCH,,1960,7,2
RENATE,,WEBER,,2004,4,1
BARBARA,,BUSCH,,1970,1,21
INGEBORG,,SCHMIDT,SCHMID,1998,12,18
GABRIELE,,VOGEL,,1958,11,20
ANKE,,MUELLER,,1962,2,23
SABINE,,JAEGER,,1972,4,18
IRMGARD,,WEBER,,1970,2,1
BRIGITTE,,MUELLER,,1973,3,23
MARIANNE,,MUELLER,,1969,1,3
CHRISTEL,,HARTMANN,,1945,10,26
RENATE,,JUNG,,1969,1,3
SILKE,,DIETRICH,,1965,5,9
MONIKA,,NEUMANN,,1976,12,21
SUSANNE,,LEHMANN,,1924,7,29
ANJA,,NEUMANN,,1963,11,1
ANGELIKA,,SCHNEIDER,,1970,3,30
UTE,,MEIER,,1935,10,13
URSULVA,,HAHN,,1950,4,23
CHARLOTTE,,VOGEL,,1952,2,6
URSULA,,ZIMMERMANN,,1948,4,27
ERNA,,BECKER,,1935,3,10
ANDREA,,SCHAEFER,,1960,5,17
RENATE,,HERRMANN,,1987,4,30
GISELA,,STEIN,,1982,11,24
ILSE,,SCHULZE,,1947,8,7
CORNELIA,,SCHAEFER,,2006,8,30
URSULA,,SCHAEFER,,1941,3,2
GABRIELE,,MEIER,,1952,6,25
SUSAZNNE,,WEBER,,1948,10,19
BRIGITTE,,MEYER,,1992,7,30
ELISABETH,,MUELLER,,1945,10,26
INGEBORG,,BECKER,,2000,1,21
ELISABETH,,BECKER,,1959,6,9
HELGA,,HERRMANN,,1952,3,15
ANGELA,,KAISER,,1986,10,25
UTE,,WOLF,,2004,5,17
CHRISTINE,,KOCH,,1929,4,8
CHRISTA,,MUELLER,,1977,11,6
JUTTA,,SCHNEIDER,,1984,6,21
ANDREA,,WAGNER,,2005,11,30
YVONNE,,BRAUN,,1978,9,8
ANGELIKA,,SCHMID,,1960,9,23
HELGA,,MUELLER,,2008,10,31
BIRGIT,,SCHMITZ,,1992,7,24
GISELA,,SCHMITZ,,1958,4,8
KARIN,,SCHMITT,,1997,9,1
URSUZLA,,SCHNEIDER,,1990,3,24
MONIKA,,WEISS,,1991,8,26
CHRISTEL,,FISCHER,,1925,3,7
HELGA,,KOCH,,2007,4,24
BAERBEL,,WALTER,,1966,6,14
BRIGITTE,,MUELLER,,1952,5,21
INGRID,,HEINRICH,,1974,10,19
HANNELORE,,RICHTER,,1999,6,9
ERIKA,INGRID,LEHMCNN,,1963,1,29
GISELA,,KOERTIG,,1943,6,2
ANDREA,KARIN,KOCH,,1980,12,5
MONIKA,,WALTER,,2000,11,92
ELISABETH,RUTH,KUHN,,1936,11,12
CHRISTA,SABINE,MARTIN,,1986,7,8
RENATE,,WEBER,,1964,3,5
REGINA,,BECKER,,1985,4,11
MELANIE,,HOFFMANN,,1959,12,9
ELKE,,NEUMANN,,1953,5,6
SABINE,,LANGE,,1943,7,21
ANNA,,SCHMITZ,,1968,1,26
STEFANIE,,MOELLER,,1969,8,18
CLAUDIA,,ALBRECJT,,1955,6,29
HELGA,BRIGITTE,SCHWARZ,,1969,7,28
ANDREA,,BRAUN,,1968,6,24
HANNELORE,,KUEHN,,1955,11,28
RENATE,,WERNER,,1939,11,19
GERTRUD,,STEIN,,1954,2,2
IRMGARD,,LANG,,1980,1,27
MARTINA,,SCHUBERT,,1931,12,5
GERDA,,SCHMIDT,,1932,12,5
SANDRA,,FUCHS,,1944,7,31
DANIELA,,SCHNEIDER,,1933,4,5
ELISABETH,,SCHMIDT,,1949,4,3
MARGOT,,SCHMIDT,,1980,10,25
MONIKA,,SCHNEIDER,,1995,9,5
PETRA,,SCHNEIDER,,2000,11,7
INGE,,SCHULZE,,1987,3,8
CHRISTA,,KOERTIG,,1960,2,12
GABRIELE,,LANGE,,1933,7,22
PETFRA,,SCHUMACHER,,1928,10,17
HELGA,,SCHROTEDER,,1949,1,5
MELANIE,,MEYER,,1990,3,1
KATHRIN,ERIKA,DIETRICH,,1963,12,29
WALTRAUD,,MUELLER,,1929,10,7
KARIN,,MUELLER,,1974,2,9
SABINE,,KRUEGER,,1983,9,15
ELISABETH,,BECKER,,1985,7,25
EDITH,,VOGEL,,1945,7,2
CHRISTA,,LANGE,,1932,1,23
HANNELORE,,SCHULZ,,1937,2,26
ELKE,,KELLER,,1963,7,8
ILSE,,MUELLER,,1957,8,11
JUTTA,,SCHAEFER,,1977,4,21
KATHRIN,,SCHULZE,,1931,3,24
